title,description,content,headline_length,group
Half Of US States Are Facing A Caregiver Crisis — Here's How Donald Trump's Cuts To Medicaid Could Make It Worse,"With 48% of states already on the brink of a caregiving emergency, experts warn that Medicaid changes could ""blow a hole in the safety net.""View Entire Post ›","On top of all the emotional and logistical challenges of caregiving, it can be a huge financial strain on family members who are typically paid little or nothing for their services. In Georgia, for e… [+1919 chars]",112,B
Trying to Find a Job? In This Economy? You Need to Follow These Rules,I asked career specialists for their top tips to hack today's tough job market. You'll want to read them all.,"The job hunt isn't what it used to be. Experts share nine tips that can help you stand out to recruiters. 
Jeffrey Hazelwood/CNET
Since getting laid off from a tech marketing role last November, St… [+14579 chars]",69,A
Tusla thinks missing 12-year-old is safe and in UK,Agency acknowledges formal strategy meeting was ‘unacceptably delayed’ in this case,"A 12-year-old child who went missing from State care in 2023 is thought to be safe in the United Kingdom, according to Tusla.
In a statement to The Irish Times, the agency said the child, whose wher… [+4246 chars]",50,A
Sun Pharma gets eight observations from USFDA for Halol plant,"Sun Pharma announced that the USFDA issued a Form 483 with eight observations after inspecting its Halol manufacturing plant in Gujarat. The USFDA conducted a Good Manufacturing Practices (GMP) inspection at the facility from June 2-13, 2025. The Form 483, is…",Drug major Sun Pharma on Saturday said the US health regulator has issued a Form 483 with 8 observations after inspecting its Halol (Gujarat) manufacturing plant.The US Food and Drug Administration (… [+560 chars],61,A
ITC completes acquisition of 24 Mantra Organic brand owner Sresta Natural,"ITC has finalized its all-cash acquisition of Sresta Natural Bioproducts, the owner of '24 Mantra Organic brand', for Rs 472.50 crore. The deal, completed on June 13, 2025, includes an upfront payment and a deferred consideration. This acquisition will streng…","Multi-conglomerate ITC has completed the acquisition of Sresta Natural Bioproducts, which owns the '24 Mantra Organic brand' in an all-cash deal valued at Rs 472.50 crore.This will help ITC to expand… [+1867 chars]",73,A
"F&O Talk| Nifty's narrow range breaks on Iran-Israel tensions; 24,450–24,500 emerges as key support: Sudeep Shah","Amidst escalating geopolitical tensions, Indian markets faced a downturn, with the Nifty and Sensex both declining. Analyst Sudeep Shah suggests a cautious approach, highlighting crucial support levels for the Nifty at 24450 and resistance at 24900. He antici…","Markets remained under pressure and ended the week in the red, with both benchmark indices slipping by over a percent. The decline was largely driven by rising geopolitical tensions and mixed global … [+8552 chars]",112,B
Victorian Mental Health and Wellbeing Commission muzzled by ‘drastic’ budget cuts,Mental Health and Wellbeing Commission chair Treasure Jennings says the funding cuts leave the commission unable to do the work it was established to do.,"Mental Health Minister Ingrid Stitt, when questioned in last weeks budget estimates hearings about funding and staffing cuts to the MHWC, said her government was prioritising the delivery of frontlin… [+5299 chars]",81,B
What we know about British mum whose ‘heart went missing’ as medical report rules death as food poisoning,Beth Martin passed away on 29 April during what should have been a family holiday to Turkey with her husband and children,"A British mums heart went missing after her mysterious death in Turkey, and the world watched on in shock.
Less than two months ago, Beth Martin was heading on a family holiday with her husband Luke… [+4982 chars]",105,B
"Eat your beans — 1 cup a day cuts inflammation and bad cholesterol, scientists say","Adding more beans to your day could pay off for your long-term heart health and reduce inflammation.
AleksandarGeorgiev/Getty Images
Beans of all kinds are nutritional powerhouses of fiber, protein, and antioxidant polyphenols.
A new study found specific type…","Adding more beans to your day could pay off for your long-term heart health and reduce inflammation.AleksandarGeorgiev/Getty ImagesBeans of all kinds are nutritional powerhouses of fiber, protein, an… [+147 chars]",82,B
Trad Wives and Tallow Fries: How the Wellness Wars Flipped Health and Food Politics Upside Down,"""I don't want to be told how many calories are in my Big Mac meal or my quarter pounder meal. I don't want the government telling me that I can't put salt on my food,"" Sean Hannity declared on Fox News in 2010. ""I like junk food. I like McDonald's. I like Wen…","""I don't want to be told how many calories are in my Big Mac meal or my quarter pounder meal. I don't want the government telling me that I can't put salt on my food,"" Sean Hannity declared on Fox Ne… [+143 chars]",95,B
Failure to timely detect flaws in rail caused North-East Express derailment in Oct 2023: CRS probe,"A final investigation report revealed that undetected flaws in the rail led to the North-East Express derailment at Raghunathpur Station, resulting in casualties and injuries. The report recommends stricter monitoring of rail manufacturing and exploring real-…","The failure to promptly detect the flaws in the rail caused the derailment of the North-East Express at Raghunathpur Station in Danapur Division of East Central Railway on October 11, 2023, according… [+3524 chars]",98,B
They Censored Our Show For Daring To Talk About Men's Health,They Censored Our Show For Daring To Talk About Men's Healthyoutube.com,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later",60,A
ChatGPT Is Telling People With Psychiatric Problems to Go Off Their Meds,"For some people, obsession with ChatGPT has gone so far, it's exacerbating their mental illness — and in some cases, even putting them in harm's way. In interviews with Futurism, concerned loved ones described watching on in horror as the chatbot encouraged, …","This week, my colleague Maggie Harrison Dupré published a blockbuster story about how people around the world have been watching in horror as their family and loved ones have become obsessed with Cha… [+3185 chars]",72,A
Microsoft commits to upskill 1 million UK workers in AI this year,Microsoft UK has partnered with the UK government and committed to training 1 million UK workers in AI this year to help the country adapt to the changes AI will bring to the economy. Read more...,"Microsoft has partnered with the UK government in the latters ambitious plan to train 7.5 million workers in AI skills over the next five years. Specifically, Microsoft has committed to upskilling 1 … [+2221 chars]",65,A
Lessons of Later-in-Life Fatherhood,"Jelani Cobb on becoming a parent at fifty and the rising average age of first-time American dads, a trend aided in part by growing gender equality, I.V.F. treatments, and other factors.","Forty-nine years ago, on what I recall as a Saturday morning when I was six and my father was fifty-six, I barged into the bathroom, as was my habit, and witnessed a scene that both bewildered and fa… [+19974 chars]",35,A
"LSU baseball vs. Arkansas: First pitch time, how to watch College World Series in Omaha","Here's what you need to know about LSU baseball's first game in the College World Series against Arkansas.

Our LSU baseball coverage is brought to you in part by Our Lady of the Lake Health, Championship Health Partners of LSU.","ONLINE/TV: ESPN
RADIO: WDGL-FM, 98.1 (Baton Rouge); WWL-AM, 870 (New Orleans); KLWB-FM, 103.7 (Lafayette)
RANKINGS: LSU is No. 6 overall seed; Arkansas is No. 3
PROBABLE STARTERS: LSU LHP Kade And… [+495 chars]",87,B
"He chose to serve longer in the Army. Now he's saddled with $40,000 in moving costs.","Charles Levine was blindsided in February when he was about to retire from the Army and found out it would not cover more than $40,000 in final moving costs — an end-of-service benefit given to retirees","Charles Levine was blindsided in February when he was about to retire from the Army and found out it would not cover more than $40,000 in final moving costs an end-of-service benefit given to retiree… [+5630 chars]",84,B
How a backyard batting cage helped LSU baseball's Derek Curiel guide the Tigers to Omaha,"How LSU baseball freshman Derek Curiel honed his skills at the plate through a batting cage in his backyard.

Our LSU baseball coverage is brought to you in part by Our Lady of the Lake Health, Championship Health Partners of LSU.","""We're just so happy and blessed that he's at LSU,"" Rick said, ""and I just can't believe my son's going to the College World Series.""
Derek is a fixture in the LSU lineup. He's spent the majority of… [+704 chars]",88,B
Ancient miasma theory may help explain Health Secretary Robert F. Kennedy Jr.'s vaccine moves,"Health Secretary Robert F. Kennedy Jr. apparently embraces the outdated ""miasma theory"" of disease instead of the widely accept ""germ theory"" of disease, which may help explain some of the actions he's been taking.",Health Secretary Robert F. Kennedy Jr. has upended medical research and public health in the U.S. in many ways. One of the ideas that could be influencing his overhaul of federal health agencies date… [+3909 chars],93,B
Everyone Else Loves Summer—So Why Am I Struggling?,"Struggling during the warmer months? Here’s how to recognize and cope with summer seasonal depression, according to a psychologist.","Keeping it realI wish I was someone who loved summer. Growing up, I vacationed in New Hampshire and looked forward to funnel cake on the boardwalk, lazy days on the lake, sugary cereal, and a late be… [+6466 chars]",50,A
Trump’s EPA Rollbacks: Trading Clean Air for Wealthy Plant Owners’ Profits,This story was originally published by the Guardian and is reproduced here as part of the Climate Desk collaboration. Donald Trump’s Environmental Protection Agency (EPA) claimed on Wednesday that its plan to eviscerate power plant pollution standards will sa…,"Billowing smokestacks at Tampa Electric Big Bend power station.Paul Hennessy/ZUMA
Get your news from a source thats not owned and controlled by oligarchs. Sign up for the free Mother Jones Daily.
T… [+6528 chars]",74,A
How to Calculate the Interest Coverage Ratio,It shows how many times a company can cover its interest expenses with its earnings before interest and taxes (EBIT).,"A high ICR suggests that a company is generating enough earnings to comfortably meet its interest obligations, indicating strong financial health and lower risk of default. A low ICR can signal finan… [+102 chars]",44,A
"Eat your beans — 1 cup a day cuts inflammation and bad cholesterol, scientists say","Beans have been called a longevity superfood, and new research shows they help lower inflammation and cholesterol in a matter of weeks.","A daily dose of beans can cut cholesterol, lower inflammation, and may help fend off chronic illnesses like heart disease, new research suggests.
A group of researchers from the Illinois Institute o… [+3740 chars]",82,B
Palo Alto Networks fixed multiple privilege escalation flaws,Palo Alto Networks addressed multiple vulnerabilities and included the latest Chrome patches in its solutions. Palo Alto Networks fixed seven privilege escalation vulnerabilities and integrated the latest Chrome security patches into its products. Palo Alto a…,"Palo Alto Networks fixed multiple privilege escalation flaws
 | Unusual toolset used in recent Fog Ransomware attack
 | 
A cyberattack on United Natural Foods caused bread shortages and bare shelv… [+172521 chars]",60,A
FIFA Club World Cup: What to know as the most revolutionary soccer tournament of this century kicks off,"When the ball gets kicked off the center circle of Miami’s Hard Rock Stadium, the United States will go down in history as the first host of the most important soccer tournament created this century.","When the ball gets kicked off the center circle of Miamis Hard Rock Stadium, the United States will go down in history as the first host of the most important soccer tournament created this century.… [+9613 chars]",103,B
Suffer the children? The dangers of expanding the realm of mental health,This is an edited version of my foreword to an important new report by Lucy Beney for the Family Education Trust.,"Suffer The Children: Why having a mental health professional in every school is not the answer by Lucy Beney is a refreshing, must-read antidote to orthodoxies associated with the enormous spike in n… [+6920 chars]",72,A
"After your parents, your kids will be the ones praying for your good health!  #cutebaby #agastya","After your parents, your kids will be the ones praying for your good health!  #cutebaby #agastyayoutube.com","Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later",96,B
The Dynamics of Photography and Disability: Pauly V ‘Care Before Profit: A Diabetic Perspective on Healthcare Under Capitalism’,"In this ongoing series, Megan Bent interviews and shares projects by disabled/chronically ill photographers. The definition of dynamics is “forces or properties which stimulate growth, development, or change within a system or process.” Each of these artists …","© Pauly V., Vials (1), film photography and cyanotype on insulin fact sheets and corrugated plastic, 34 x 26 inches, framed. Image: A medical insert pamphlet with small text and photos instructing ho… [+21950 chars]",127,B
"About 60 people arrested after veterans’ anti-ICE demonstration in Washington, DC, police say","A group of about 75 protesters were demonstrating peacefully Friday night at the Supreme Court, just across the street from the Capitol, according to a statement from Capitol Police.","Roughly 60 demonstrators were arrested on Friday outside the US Capitol after breaching a police line of bike racks and advancing toward steps leading to the Capitol Rotunda, according to Capitol Pol… [+3074 chars]",93,B
"Nimbus COVID variant is spreading across the US. It's likely in CT, health experts say. - NewsBreak","Nimbus COVID variant is spreading across the US. It's likely in CT, health experts say. - NewsBreaknewsbreak.com","Alexandra Velez of Stamford gets tested by Dr. Kisha Mitchell Richards during a free COVID 19 testing clinic in Stamford, Connecticut on June 20, 2020.  (Hearst Connecticut Media file photo)
Over th… [+6180 chars]",99,B
Democrats running for Lt. Gov. make final arguments before primary,"The leading Democratic candidates for lieutenant governor are emphasizing their life stories and political résumés, hoping personal experience will help them earn votes in Tuesday's primary.",With few major policy differences separating them save for a sharp split over a proposed casino in Tysons Corner the leading Democratic candidates for lieutenant governor are emphasizing their life s… [+12087 chars],66,A
I own a small solar company in Montana and might have to lay off most of my employees. I'm not hiding that from them.,"Ralph Walters, owner of SBS solar in Montana, may do mass layoffs if a GOP bill ends key tax credits. He's being honest with his staff about it all.","Ralph Walters owns SBS Solar in Montana with his wife, Jaime RauchRalph Walters
<ul><li>Ralph Walters worries about how the Republican spending bill could end energy tax credits.</li><li>If it passe… [+3651 chars]",117,B
Is Yoga Good For Multiple Sclerosis? - The Health Brief,Is Yoga Good For Multiple Sclerosis? - The Health Briefyoutube.com,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later",55,A
Missourians stuck in jail waiting for mental health care up 40 percent from last year,"The number of Missourians languishing in jail while they wait for a spot in a state-run psychiatric hospital continues to climb, with nearly 450 people stuck in limbo in need of mental health treatment.","The number of Missourians languishing in jail while they wait for a spot in a state-run psychiatric hospital continues to climb, with nearly 450 people stuck in limbo in need of mental health treatme… [+4118 chars]",85,B
"UMB Bank n.a. Has $61,000 Position in Chewy, Inc. (NYSE:CHWY)","UMB Bank n.a. raised its stake in shares of Chewy, Inc. (NYSE:CHWY – Free Report) by 225.7% in the first quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The firm owned 1,866 shares of the company’s stock after buyin…","UMB Bank n.a. raised its stake in shares of Chewy, Inc. (NYSE:CHWY – Free Report) by 225.7% in the first quarter, according to its most recent 13F filing with the Securities &amp; Exchange Commission… [+5373 chars]",61,A
"Nuclear safeguards and the NPT: AUKUS Side Event, May 2025","Australian statement as delivered by Vanessa Wood, Ambassador for Arms Control and Counter-Proliferation","Combined statements of the UK, Australia, and the US from the NPT PrepCom AUKUS Side Event on 1 May 2025
From: Foreign, Commonwealth &amp; Development Office and Corinne Kitsell OBE Published 13 Jun… [+25578 chars]",58,A
"Nigerian health workers threaten strike, give 14-day ultimatum",The doctors' association said the strike would commence at an Abuja hospital but may become a nationwide strike.,"The Nigerian Medical Association (NMA), Federal Capital Territory (FCT) chapter, has issued a 14-day strike ultimatum to the management of the National Hospital, Abuja, over the dismissal of three of… [+1597 chars]",62,A
Financial Stocks To Keep An Eye On – June 11th,"UnitedHealth Group, Circle Internet Group, Robinhood Markets, Salesforce, and ProShares UltraPro Short QQQ are the five Financial stocks to watch today, according to MarketBeat’s stock screener tool. Financial stocks are shares of companies operating in the f…","UnitedHealth Group, Circle Internet Group, Robinhood Markets, Salesforce, and ProShares UltraPro Short QQQ are the five Financial stocks to watch today, according to MarketBeat’s stock screener tool.… [+5805 chars]",46,A
Respected Comrade Kim Jong Un Makes Speech at Ceremony of Launching Destroyer of Navy of Korean People's Army,The respected Comrade Kim Jong Un made a speech at a ceremony of launching a destroyer of the Navy of the Korean People's Army on June 12.,"Korean Central News Agency of DPRK
Pyongyang, June 13 (KCNA) -- The respected Comrade Kim Jong Un made a speech at a ceremony of launching a destroyer of the Navy of the Korean People's Army on June… [+19244 chars]",109,B
Secretary General Alain Berset voices strong support for reform and peace at conclusion of first visit to Armenia,"On his first visit to Armenia as Secretary General of the Council of Europe, Alain Berset reaffirmed the Organisation's unwavering support for the country's democratic development and called for the swift signature of a peace agreement between Armenia and Aze…","Council of Europe
Secretary GeneralYerevan (Armenia)13 June 2025
On his first visit to Armenia as Secretary General of the Council of Europe, Alain Berset reaffirmed the Organisation's unwavering s… [+3762 chars]",113,B
"World News in Brief: Rights abuses in Haiti, Sudan war sees exodus to Chad, food trade optimism","Escalating gang violence in Haiti has displaced a record 1.3 million people, UN human rights chief Volker Türk said on Friday.","13 June 2025 - Escalating gang violence in Haiti has displaced a record 1.3 million people, UN human rights chief Volker TÃ¼rk said on Friday. 
Between 1 January and 30 May, at least 2,680 people - … [+4529 chars]",95,B
"Food insecurity in Lebanon returns to near pre-conflict levels - but gains remain fragile, new report shows","Under the patronage and in the presence of Lebanese Minister of Agriculture Dr. Nizar Hani, and with the participation of WFP Representative and Country Director in Lebanon Mr. Matthew Hollingworth, Acting FAO Representative in Lebanon Ms. Veronica Quattrola …","World Food Programme
13 June 2025
21 per cent of Lebanon's population faces acute food insecurity, projected to worsen by the summer.
BEIRUT -- Under the patronage and in the presence of Lebanese … [+6004 chars]",107,B
"Humanitarians must be able to deliver aid in Gaza, UN agencies insist",UN agencies on Friday continue to stress they must be allowed to deliver aid in the Gaza Strip as famine looms and a telecommunications blackout threatens lifesaving operations.,"13 June 2025 - UN agencies on Friday continue to stress they must be allowed to deliver aid in the Gaza Strip as famine looms and a telecommunications blackout threatens lifesaving operations. 
The … [+4865 chars]",69,A
DR Congo crisis: Aid teams appeal for support to help displaced communities left with nothing,"As diplomatic efforts continue to end fighting in eastern Democratic Republic of the Congo (DRC), the UN development agency (UNDP) issued an appeal on Friday on behalf of people uprooted by the violence to help them rebuild their lives and livelihoods.","13 June 2025 - As diplomatic efforts continue to end fighting in eastern Democratic Republic of the Congo (DRC), the UN development agency (UNDP) issued an appeal on Friday on behalf of people uproot… [+2414 chars]",93,B
"Wealthcare Advisory Partners LLC Sells 485 Shares of Best Buy Co., Inc. (NYSE:BBY)","Wealthcare Advisory Partners LLC decreased its stake in Best Buy Co., Inc. (NYSE:BBY – Free Report) by 5.9% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 7,677 shar…","Wealthcare Advisory Partners LLC decreased its stake in Best Buy Co., Inc. (NYSE:BBY – Free Report) by 5.9% in the 1st quarter, according to the company in its most recent 13F filing with the Securit… [+6705 chars]",82,B
Top Virtual Reality Stocks To Follow Now – June 12th,"Meta Platforms, GameStop, Unity Software, Best Buy, and EPAM Systems are the five Virtual Reality stocks to watch today, according to MarketBeat’s stock screener tool. Virtual reality stocks are shares of publicly traded companies that design, manufacture or …","Meta Platforms, GameStop, Unity Software, Best Buy, and EPAM Systems are the five Virtual Reality stocks to watch today, according to MarketBeat’s stock screener tool. Virtual reality stocks are shar… [+6393 chars]",52,A
Utility Stocks To Add to Your Watchlist – June 12th,"Tesla, Berkshire Hathaway, and Ford Motor are the three Utility stocks to watch today, according to MarketBeat’s stock screener tool. Utility stocks represent shares in companies that provide essential public services—such as electricity, water or natural gas…","Tesla, Berkshire Hathaway, and Ford Motor are the three Utility stocks to watch today, according to MarketBeat’s stock screener tool. Utility stocks represent shares in companies that provide essenti… [+4021 chars]",51,A
"Tanks, helicopters and a military parade: How Donald Trump is spending his 79th birthday","The Army expects as many as 200,000 people to attend the parade that honors the U.S. Army’s formation and coincides with Donald Trump’s birthday.","WASHINGTON President Donald Trumps birthday will be full of pomp and circumstance as the 79-year-old politician celebrates with a military parade.
The Army expects as many as 200,000 people to show … [+5061 chars]",88,B
